Correct,Wrong,Tie,Percent,week
9,7,0,0.5625,1
10,6,0,0.625,1
7,9,0,0.4375,1
8,8,0,0.5,1
8,8,0,0.5,1
9,7,0,0.5625,1
11,5,0,0.6875,1
11,5,0,0.6875,1
23,9,0,0.71875,2
23,9,0,0.71875,2
19,13,0,0.59375,2
21,11,0,0.65625,2
22,10,0,0.6875,2
22,10,0,0.6875,2
22,10,0,0.6875,2
26,6,0,0.8125,2
33,14,1,0.6875,3
33,14,1,0.6875,3
25,22,1,0.5208333333333334,3
29,18,1,0.6041666666666666,3
30,17,1,0.625,3
32,15,1,0.6666666666666666,3
32,15,1,0.6666666666666666,3
35,12,1,0.7291666666666666,3
43,19,1,0.6825396825396826,4
41,21,1,0.6507936507936508,4
34,28,1,0.5396825396825397,4
41,21,1,0.6507936507936508,4
40,22,1,0.6349206349206349,4
41,21,1,0.6507936507936508,4
41,21,1,0.6507936507936508,4
45,17,1,0.7142857142857143,4
51,24,1,0.6710526315789473,5
51,24,1,0.6710526315789473,5
43,32,1,0.5657894736842105,5
50,25,1,0.6578947368421053,5
48,27,1,0.631578947368421,5
51,24,1,0.6710526315789473,5
51,24,1,0.6710526315789473,5
54,21,1,0.7105263157894737,5
59,30,1,0.6555555555555556,6
59,30,1,0.6555555555555556,6
53,36,1,0.5888888888888889,6
58,31,1,0.6444444444444445,6
57,32,1,0.6333333333333333,6
59,30,1,0.6555555555555556,6
62,27,1,0.6888888888888889,6
63,26,1,0.7,6
71,32,1,0.6826923076923077,7
69,34,1,0.6634615384615384,7
65,38,1,0.625,7
69,34,1,0.6634615384615384,7
67,36,1,0.6442307692307693,7
66,37,1,0.6346153846153846,7
71,32,1,0.6826923076923077,7
74,29,1,0.7115384615384616,7
80,37,1,0.6779661016949152,8
78,39,1,0.6610169491525424,8
69,48,1,0.5847457627118644,8
77,40,1,0.652542372881356,8
74,43,1,0.6271186440677966,8
73,44,1,0.6186440677966102,8
79,38,1,0.6694915254237288,8
82,35,1,0.6949152542372882,8
89,42,1,0.6742424242424242,9
87,44,1,0.6590909090909091,9
76,55,1,0.5757575757575758,9
87,44,1,0.6590909090909091,9
82,49,1,0.6212121212121212,9
81,50,1,0.6136363636363636,9
88,43,1,0.6666666666666666,9
92,39,1,0.696969696969697,9
98,47,1,0.6712328767123288,10
97,48,1,0.6643835616438356,10
85,60,1,0.5821917808219178,10
96,49,1,0.6575342465753424,10
91,54,1,0.6232876712328768,10
92,53,1,0.6301369863013698,10
94,51,1,0.6438356164383562,10
4,41,1,0.08695652173913043,10
4,55,1,0.06666666666666667,11
3,56,1,0.05,11
92,67,1,0.575,11
4,55,1,0.06666666666666667,11
97,62,1,0.60625,11
0,59,1,0,11
1,58,1,0.016666666666666666,11
9,50,1,0.15,11
14,61,1,0.18421052631578946,12
14,61,1,0.18421052631578946,12
0,75,1,0,12
16,59,1,0.21052631578947367,12
9,66,1,0.11842105263157894,12
12,63,1,0.15789473684210525,12
15,60,1,0.19736842105263158,12
20,55,1,0.2631578947368421,12
23,67,1,0.25274725274725274,13
27,63,1,0.2967032967032967,13
9,81,1,0.0989010989010989,13
24,66,1,0.26373626373626374,13
19,71,1,0.2087912087912088,13
24,66,1,0.26373626373626374,13
21,69,1,0.23076923076923078,13
29,61,1,0.31868131868131866,13
34,72,1,0.3177570093457944,14
35,71,1,0.32710280373831774,14
21,85,1,0.19626168224299065,14
36,70,1,0.3364485981308411,14
30,76,1,0.2803738317757009,14
35,71,1,0.32710280373831774,14
31,75,1,0.2897196261682243,14
39,67,1,0.3644859813084112,14
47,75,1,0.3821138211382114,15
42,79,1,0.3442622950819672,15
31,91,1,0.25203252032520324,15
47,75,1,0.3821138211382114,15
41,81,1,0.3333333333333333,15
47,75,1,0.3821138211382114,15
43,79,1,0.34959349593495936,15
49,73,1,0.3983739837398374,15
58,80,1,0.4172661870503597,16
53,84,1,0.38405797101449274,16
39,99,1,0.2805755395683453,16
56,82,1,0.4028776978417266,16
52,86,1,0.37410071942446044,16
57,81,1,0.41007194244604317,16
53,85,1,0.381294964028777,16
58,80,1,0.4172661870503597,16
69,85,1,0.44516129032258067,17
61,92,1,0.3961038961038961,17
69,85,1,0.44516129032258067,17
64,90,1,0.4129032258064516,17
70,84,1,0.45161290322580644,17
66,88,1,0.4258064516129032,17
72,82,1,0.4645161290322581,17
