Record,Correct,Wrong,Percent,week
12-4,12,4,0.75,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
12-4,12,4,0.75,1
11-5,11,5,0.6875,1
9-7,9,7,0.5625,1
9-7,9,7,0.5625,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
26-6,26,6,0.8125,2
23-9,23,9,0.71875,2
25-7,25,7,0.78125,2
25-7,25,7,0.78125,2
22-10,22,10,0.6875,2
24-8,24,8,0.75,2
24-8,24,8,0.75,2
22-10,22,10,0.6875,2
10-6,10,6,0.625,2
36-11,36,11,0.7659574468085106,3
30-17,30,17,0.6382978723404256,3
31-16,31,16,0.6595744680851063,3
33-14,33,14,0.7021276595744681,3
34-13,34,13,0.723404255319149,3
24-8,24,8,0.75,3
33-14,33,14,0.7021276595744681,3
31-16,31,16,0.6595744680851063,3
10-6,10,6,0.625,3
47-15,47,15,0.7580645161290323,4
41-21,41,21,0.6612903225806451,4
39-23,39,23,0.6290322580645161,4
42-20,42,20,0.6774193548387096,4
45-17,45,17,0.7258064516129032,4
35-12,35,12,0.7446808510638298,4
41-21,41,21,0.6612903225806451,4
39-23,39,23,0.6290322580645161,4
21-10,21,10,0.6774193548387096,4
57-19,57,19,0.75,5
49-27,49,27,0.6447368421052632,5
48-28,48,28,0.631578947368421,5
52-24,52,24,0.6842105263157895,5
55-21,55,21,0.7236842105263158,5
46-15,46,15,0.7540983606557377,5
50-26,50,26,0.6578947368421053,5
47-29,47,29,0.618421052631579,5
30-15,30,15,0.6666666666666666,5
66-24,66,24,0.7333333333333333,6
60-30,60,30,0.6666666666666666,6
57-33,57,33,0.6333333333333333,6
61-29,61,29,0.6777777777777778,6
64-26,64,26,0.7111111111111111,6
53-22,53,22,0.7066666666666667,6
57-33,57,33,0.6333333333333333,6
54-36,54,36,0.6,6
39-20,39,20,0.6610169491525424,6
75-29,75,29,0.7211538461538461,7
69-35,69,35,0.6634615384615384,7
65-39,65,39,0.625,7
74-30,74,30,0.7115384615384616,7
74-30,74,30,0.7115384615384616,7
62-27,62,27,0.6966292134831461,7
66-38,66,38,0.6346153846153846,7
62-42,62,42,0.5961538461538461,7
50-23,50,23,0.684931506849315,7
84-34,84,34,0.711864406779661,8
76-42,76,42,0.6440677966101694,8
71-47,71,47,0.6016949152542372,8
81-37,81,37,0.6864406779661016,8
82-36,82,36,0.6949152542372882,8
69-34,69,34,0.6699029126213593,8
72-46,72,46,0.6101694915254238,8
71-47,71,47,0.6016949152542372,8
56-31,56,31,0.6436781609195402,8
94-38,94,38,0.7121212121212122,9
85-47,85,47,0.6439393939393939,9
82-50,82,50,0.6212121212121212,9
93-39,93,39,0.7045454545454546,9
90-42,90,42,0.6818181818181818,9
78-39,78,39,0.6666666666666666,9
83-49,83,49,0.6287878787878788,9
82-50,82,50,0.6212121212121212,9
66-35,66,35,0.6534653465346535,9
105-41,105,41,0.7191780821917808,10
95-51,95,51,0.6506849315068494,10
90-56,90,56,0.6164383561643836,10
102-44,102,44,0.6986301369863014,10
101-45,101,45,0.6917808219178082,10
86-45,86,45,0.6564885496183206,10
93-53,93,53,0.636986301369863,10
91-55,91,55,0.6232876712328768,10
76-39,76,39,0.6608695652173913,10
110-50,110,50,0.6875,11
103-57,103,57,0.64375,11
99-61,99,61,0.61875,11
108-52,108,52,0.675,11
109-51,109,51,0.68125,11
91-54,91,54,0.6275862068965518,11
100-60,100,60,0.625,11
99-61,99,61,0.61875,11
84-45,84,45,0.6511627906976745,11
121-55,121,55,0.6875,12
115-61,115,61,0.6534090909090909,12
110-66,110,66,0.625,12
118-58,118,58,0.6704545454545454,12
121-55,121,55,0.6875,12
102-59,102,59,0.6335403726708074,12
112-64,112,64,0.6363636363636364,12
111-65,111,65,0.6306818181818182,12
95-50,95,50,0.6551724137931034,12
133-58,133,58,0.6963350785340314,13
124-67,124,67,0.6492146596858639,13
120-71,120,71,0.6282722513089005,13
130-61,130,61,0.680628272251309,13
131-60,131,60,0.6858638743455497,13
112-64,112,64,0.6363636363636364,13
122-69,122,69,0.6387434554973822,13
120-71,120,71,0.6282722513089005,13
105-55,105,55,0.65625,13
142-65,142,65,0.6859903381642513,14
136-71,136,71,0.6570048309178744,14
131-76,131,76,0.6328502415458938,14
142-65,142,65,0.6859903381642513,14
141-66,141,66,0.6811594202898551,14
124-68,124,68,0.6458333333333334,14
129-78,129,78,0.6231884057971014,14
129-78,129,78,0.6231884057971014,14
113-63,113,63,0.6420454545454546,14
153-70,153,70,0.6860986547085202,15
147-76,147,76,0.6591928251121076,15
140-83,140,83,0.6278026905829597,15
153-70,153,70,0.6860986547085202,15
153-70,153,70,0.6860986547085202,15
136-72,136,72,0.6538461538461539,15
141-82,141,82,0.6322869955156951,15
139-84,139,84,0.6233183856502242,15
124-68,124,68,0.6458333333333334,15
162-77,162,77,0.6778242677824268,16
157-82,157,82,0.6569037656903766,16
148-91,148,91,0.6192468619246861,16
162-77,162,77,0.6778242677824268,16
163-76,163,76,0.6820083682008368,16
147-77,147,77,0.65625,16
152-87,152,87,0.6359832635983264,16
148-91,148,91,0.6192468619246861,16
131-77,131,77,0.6298076923076923,16
175-80,175,80,0.6862745098039216,17
166-89,166,89,0.6509803921568628,17
157-98,157,98,0.615686274509804,17
175-80,175,80,0.6862745098039216,17
173-82,173,82,0.6784313725490196,17
160-80,160,80,0.6666666666666666,17
165-90,165,90,0.6470588235294118,17
160-95,160,95,0.6274509803921569,17
144-80,144,80,0.6428571428571429,17
